,Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Air temperature [F],Process temperature [F],Power consumption [W],Temperature difference [F],Temperature ratio,Failure
42,M,0.11641443538998841,0.6222527472527473,0.4624505928853755,0,No Failure,0.38043478260869623,0.41975308641975584,0.07243920224129774,-0.03931830381105961,0.9063299232736527,0
43,H,0.11874272409778819,0.6140109890109889,0.4743083003952569,0,No Failure,0.38043478260869623,0.43209876543209713,0.07290933746114192,-0.0516639828234009,0.8804347826087003,0
44,M,0.17694994179278234,0.6002747252747253,0.49407114624505927,0,No Failure,0.38043478260869623,0.41975308641975584,0.10621857769704104,-0.03931830381105961,0.9063299232736527,0
45,L,0.18684516880093138,0.6222527472527473,0.5059288537549407,0,No Failure,0.38043478260869623,0.41975308641975584,0.11626491959728286,-0.03931830381105961,0.9063299232736527,0
46,M,0.3928987194412107,0.30219780219780223,0.5138339920948616,0,No Failure,0.3695652173913029,0.40740740740740833,0.11873312950146478,-0.03784219001610545,0.9071146245059232,0
47,L,0.1455180442374855,0.5837912087912087,0.525691699604743,0,No Failure,0.38043478260869623,0.41975308641975584,0.08495215494633424,-0.03931830381105961,0.9063299232736527,0
48,H,0.1495925494761351,0.6881868131868131,0.533596837944664,0,No Failure,0.38043478260869623,0.43209876543209713,0.10294761990047208,-0.0516639828234009,0.8804347826087003,0
49,M,0.14202561117578583,0.5535714285714285,0.5533596837944663,0,No Failure,0.39130434782608337,0.43209876543209713,0.07862132047231,-0.040794417606013766,0.9055900621117964,0
50,L,0.9854481955762514,0.010989010989010992,0.5652173913043478,1,Power Failure,0.39130434782608337,0.41975308641975584,0.010829101050288479,-0.028448738593672473,0.9322250639386043,1
51,L,0.12514551804423757,0.7019230769230769,0.5731225296442687,0,No Failure,0.39130434782608337,0.41975308641975584,0.08784252708874367,-0.028448738593672473,0.9322250639386043,0
52,H,0.19150174621653093,0.5494505494505494,0.5810276679841897,0,No Failure,0.38043478260869623,0.40740740740740833,0.10522073967941259,-0.026972624798712097,0.9337944664031613,0
53,L,0.23108265424912688,0.42994505494505497,0.6007905138339921,0,No Failure,0.3695652173913029,0.40740740740740833,0.09935284447799,-0.03784219001610545,0.9071146245059232,0
54,L,0.3044237485448196,0.3612637362637363,0.608695652173913,0,No Failure,0.3695652173913029,0.40740740740740833,0.10997726080671368,-0.03784219001610545,0.9071146245059232,0
55,L,0.20023282887077998,0.5068681318681318,0.616600790513834,0,No Failure,0.38043478260869623,0.41975308641975584,0.10149163990840358,-0.03931830381105961,0.9063299232736527,0
56,L,0.17986030267753206,0.5302197802197801,0.6245059288537549,0,No Failure,0.38043478260869623,0.41975308641975584,0.09536549015594417,-0.03931830381105961,0.9063299232736527,0
57,L,0.20081490104772992,0.5013736263736263,0.6324110671936758,0,No Failure,0.38043478260869623,0.41975308641975584,0.10068329516816127,-0.03931830381105961,0.9063299232736527,0
58,M,0.28696158323632137,0.35302197802197804,0.6403162055335968,0,No Failure,0.38043478260869623,0.40740740740740833,0.10130374573040467,-0.026972624798712097,0.9337944664031613,0
59,L,0.12223515715948785,0.695054945054945,0.6521739130434783,0,No Failure,0.38043478260869623,0.41975308641975584,0.0849601504432704,-0.03931830381105961,0.9063299232736527,0
60,L,0.130966239813737,0.6703296703296703,0.6600790513833992,0,No Failure,0.38043478260869623,0.41975308641975584,0.08779055635865887,-0.03931830381105961,0.9063299232736527,0
61,M,0.24679860302677536,0.47252747252747257,0.6679841897233201,0,No Failure,0.38043478260869623,0.40740740740740833,0.1166191201115532,-0.026972624798712097,0.9337944664031613,0
62,L,0.3847497089639115,0.2623626373626374,0.6798418972332015,0,No Failure,0.38043478260869623,0.40740740740740833,0.10094394836827898,-0.026972624798712097,0.9337944664031613,0
63,M,0.37485448195576254,0.30357142857142855,0.6877470355731224,0,No Failure,0.39130434782608337,0.40740740740740833,0.11379511059371362,-0.016103059581324963,0.9604743083003843,0
64,L,0.20663562281722936,0.47802197802197804,0.6996047430830039,0,No Failure,0.4021739130434785,0.41975308641975584,0.09877636914889536,-0.017579173376277346,0.9581202046035748,0
65,L,0.13154831199068684,0.5673076923076923,0.7075098814229248,0,No Failure,0.4021739130434785,0.41975308641975584,0.07462836930240888,-0.017579173376277346,0.9581202046035748,0
66,M,0.29743888242142025,0.34203296703296704,0.7154150197628458,0,No Failure,0.39130434782608337,0.39506172839505904,0.1017339034655682,-0.0037573805689756767,0.9904891304347803,0
67,H,0.17345750873108268,0.5535714285714285,0.7272727272727272,0,No Failure,0.38043478260869623,0.39506172839505904,0.09602112090470646,-0.01462694578636281,0.9629755434782689,0
68,L,0.20896391152502913,0.39285714285714285,0.7470355731225296,0,No Failure,0.38043478260869623,0.39506172839505904,0.08209296524197573,-0.01462694578636281,0.9629755434782689,0
69,L,0.14086146682188594,0.8502747252747253,0.7549407114624506,1,Power Failure,0.39130434782608337,0.40740740740740833,0.11977094500377389,-0.016103059581324963,0.9604743083003843,1
70,M,0.440046565774156,0.25824175824175827,0.7628458498023715,0,No Failure,0.39130434782608337,0.40740740740740833,0.11363839885376557,-0.016103059581324963,0.9604743083003843,0
71,L,0.16530849825378346,0.5728021978021978,0.7747035573122529,0,No Failure,0.39130434782608337,0.41975308641975584,0.09468907111514795,-0.028448738593672473,0.9322250639386043,0
72,L,0.11699650756693836,0.5576923076923076,0.7826086956521738,0,No Failure,0.39130434782608337,0.41975308641975584,0.06524805229694638,-0.028448738593672473,0.9322250639386043,0
73,L,0.24679860302677536,0.4285714285714286,0.7905138339920948,0,No Failure,0.4021739130434785,0.41975308641975584,0.10577082986861802,-0.017579173376277346,0.9581202046035748,0
74,L,0.25203725261932486,0.3914835164835165,0.7984189723320158,0,No Failure,0.39130434782608337,0.40740740740740833,0.09866842994025767,-0.016103059581324963,0.9604743083003843,0
75,L,0.1228172293364378,0.5892857142857143,0.8063241106719367,0,No Failure,0.38043478260869623,0.39506172839505904,0.07237443871611512,-0.01462694578636281,0.9629755434782689,0
76,L,0.17054714784633296,0.6057692307692307,0.8142292490118577,0,No Failure,0.38043478260869623,0.39506172839505904,0.10331221456075938,-0.01462694578636281,0.9629755434782689,0
77,L,0.1670547147846333,0.5151098901098901,0.8221343873517786,1,Tool Wear Failure,0.38043478260869623,0.39506172839505904,0.08605153577505148,-0.01462694578636281,0.9629755434782689,1
78,L,0.13387660069848661,0.6552197802197802,0.0,0,No Failure,0.38043478260869623,0.39506172839505904,0.08771859688623368,-0.01462694578636281,0.9629755434782689,0
79,L,0.1362048894062864,0.46840659340659335,0.007905138339920948,0,No Failure,0.38043478260869623,0.39506172839505904,0.0637992682521204,-0.01462694578636281,0.9629755434782689,0
80,H,0.16123399301513397,0.6332417582417582,0.015810276679841896,0,No Failure,0.38043478260869623,0.38271604938271775,0.1021000972252428,-0.0022812667740215176,0.9940392706872341,0
81,L,0.1641443538998837,0.6002747252747253,0.035573122529644265,0,No Failure,0.39130434782608337,0.39506172839505904,0.09853170694264995,-0.0037573805689756767,0.9904891304347803,0
82,L,0.1658905704307334,0.5082417582417581,0.043478260869565216,0,No Failure,0.39130434782608337,0.39506172839505904,0.08431251519144416,-0.0037573805689756767,0.9904891304347803,0
83,L,0.1752037252619325,0.4986263736263737,0.05138339920948616,0,No Failure,0.4021739130434785,0.40740740740740833,0.08736119817318888,-0.005233494363929836,0.9871541501976268,0
84,L,0.14784633294528526,0.6016483516483516,0.05928853754940711,0,No Failure,0.39130434782608337,0.39506172839505904,0.08895150251378427,-0.0037573805689756767,0.9904891304347803,0
85,M,0.370197904540163,0.315934065934066,0.06719367588932806,0,No Failure,0.4021739130434785,0.40740740740740833,0.11695812918164492,-0.005233494363929836,0.9871541501976268,0
86,H,0.15599534342258448,0.5508241758241758,0.07905138339920947,0,No Failure,0.4021739130434785,0.40740740740740833,0.08592600647315435,-0.005233494363929836,0.9871541501976268,0
87,L,0.21885913853317818,0.38461538461538464,0.09881422924901186,0,No Failure,0.4021739130434785,0.40740740740740833,0.08417659174353007,-0.005233494363929836,0.9871541501976268,0
88,M,0.14610011641443543,0.5686813186813187,0.1067193675889328,0,No Failure,0.4021739130434785,0.40740740740740833,0.08308440686205532,-0.005233494363929836,0.9871541501976268,0
89,M,0.1856810244470315,0.49038461538461536,0.11857707509881422,0,No Failure,0.39130434782608337,0.39506172839505904,0.0910551177576789,-0.0037573805689756767,0.9904891304347803,0
90,L,0.340512223515716,0.30219780219780223,0.13043478260869565,0,No Failure,0.39130434782608337,0.39506172839505904,0.10290204556793615,-0.0037573805689756767,0.9904891304347803,0
91,L,0.38533178114086153,0.2898351648351648,0.13833992094861658,0,No Failure,0.39130434782608337,0.39506172839505904,0.11168270030318925,-0.0037573805689756767,0.9904891304347803,0
92,M,0.32537834691501744,0.3200549450549451,0.14624505928853754,0,No Failure,0.39130434782608337,0.39506172839505904,0.10413894894395477,-0.0037573805689756767,0.9904891304347803,0
93,L,0.1641443538998837,0.5384615384615384,0.15810276679841895,0,No Failure,0.41304347826087184,0.40740740740740833,0.08838542133070659,0.005636070853463515,1.013833992094865,0
94,L,0.26426076833527357,0.385989010989011,0.1660079051383399,0,No Failure,0.4021739130434785,0.39506172839505904,0.1020017526129284,0.007112184648419451,1.0180027173913118,0
95,M,0.10651920838183937,0.6648351648351648,0.17391304347826086,0,No Failure,0.4021739130434785,0.40740740740740833,0.07081771546265145,-0.005233494363929836,0.9871541501976268,0
96,M,0.23690337601862632,0.43269230769230765,0.18577075098814227,0,No Failure,0.4021739130434785,0.40740740740740833,0.10250626846959791,-0.005233494363929836,0.9871541501976268,0
97,M,0.33876600698486625,0.3585164835164835,0.1976284584980237,0,No Failure,0.39130434782608337,0.39506172839505904,0.12145319755913474,-0.0037573805689756767,0.9904891304347803,0
98,L,0.21012805587892902,0.396978021978022,0.20948616600790512,0,No Failure,0.39130434782608337,0.38271604938271775,0.08341621998490452,0.008588298443365616,1.0224403927068584,0
99,L,0.20663562281722936,0.5576923076923076,0.21739130434782608,0,No Failure,0.38043478260869623,0.38271604938271775,0.11523909734037789,-0.0022812667740215176,0.9940392706872341,0
100,L,0.3981373690337603,0.29120879120879123,0.225296442687747,0,No Failure,0.38043478260869623,0.39506172839505904,0.11594110197136977,-0.01462694578636281,0.9629755434782689,0
101,L,0.47904540162980214,0.23214285714285715,0.23320158102766797,0,No Failure,0.38043478260869623,0.38271604938271775,0.11120696823548978,-0.0022812667740215176,0.9940392706872341,0
102,L,0.22526193247962756,0.5054945054945055,0.24110671936758893,0,No Failure,0.38043478260869623,0.38271604938271775,0.11386866916552602,-0.0022812667740215176,0.9940392706872341,0
103,M,0.1589057043073342,0.5041208791208791,0.24901185770750986,0,No Failure,0.38043478260869623,0.38271604938271775,0.08010768335273578,-0.0022812667740215176,0.9940392706872341,0
104,L,0.1641443538998837,0.5439560439560439,0.2608695652173913,0,No Failure,0.38043478260869623,0.37037037037037024,0.08928731338510155,0.010064412238325993,1.0271739130434803,0
105,L,0.24621653084982542,0.37500000000000006,0.26877470355731226,0,No Failure,0.38043478260869623,0.37037037037037024,0.09233119906868455,0.010064412238325993,1.0271739130434803,0
106,L,0.16123399301513397,0.6140109890109889,0.27667984189723316,0,No Failure,0.38043478260869623,0.37037037037037024,0.09899944351341329,0.010064412238325993,1.0271739130434803,0
107,M,0.19150174621653093,0.5906593406593406,0.2845849802371541,0,No Failure,0.38043478260869623,0.38271604938271775,0.11311229515536853,-0.0022812667740215176,0.9940392706872341,0
108,H,0.26367869615832373,0.396978021978022,0.2964426877470355,0,No Failure,0.39130434782608337,0.38271604938271775,0.10467464723867523,0.008588298443365616,1.0224403927068584,0
109,L,0.2351571594877765,0.41620879120879123,0.3162055335968379,0,No Failure,0.39130434782608337,0.37037037037037024,0.09787447709450038,0.020933977455713126,1.0565217391304254,0
110,L,0.40977881257275917,0.2568681318681319,0.32411067193675885,0,No Failure,0.38043478260869623,0.35802469135802895,0.105259118064706,0.022410091250667286,1.0625937031484147,0
111,H,0.19266589057043082,0.5453296703296703,0.3320158102766798,0,No Failure,0.3695652173913029,0.35802469135802895,0.10506642658854537,0.011540526033273935,1.0322338830584543,0
112,M,0.19208381839348088,0.49038461538461536,0.3517786561264822,0,No Failure,0.38043478260869623,0.37037037037037024,0.09419494940449542,0.010064412238325993,1.0271739130434803,0
113,M,0.18509895227008155,0.5233516483516483,0.3636363636363636,0,No Failure,0.38043478260869623,0.35802469135802895,0.09687184177871025,0.022410091250667286,1.0625937031484147,0
114,L,0.2980209545983702,0.3516483516483516,0.37549407114624506,0,No Failure,0.38043478260869623,0.35802469135802895,0.10479857744118512,0.022410091250667286,1.0625937031484147,0
115,L,0.15308498253783476,0.5755494505494505,0.38339920948616596,0,No Failure,0.38043478260869623,0.35802469135802895,0.08810797758702302,0.022410091250667286,1.0625937031484147,0
116,L,0.23050058207217705,0.41620879120879123,0.3913043478260869,0,No Failure,0.39130434782608337,0.37037037037037024,0.09593636863718359,0.020933977455713126,1.0565217391304254,0
117,L,0.25087310826542497,0.4010989010989011,0.3992094861660079,0,No Failure,0.38043478260869623,0.35802469135802895,0.1006249280405276,0.022410091250667286,1.0625937031484147,0
118,M,0.31373690337601867,0.3337912087912088,0.40711462450592883,0,No Failure,0.38043478260869623,0.35802469135802895,0.10472262022029195,0.022410091250667286,1.0625937031484147,0
119,L,0.17403958090803262,0.5068681318681318,0.41897233201581024,0,No Failure,0.3695652173913029,0.34567901234567966,0.08821511724596708,0.02388620504562322,1.0690993788819814,0
120,L,0.15424912689173464,0.5618131868131868,0.4268774703557312,0,No Failure,0.39130434782608337,0.37037037037037024,0.08665919354219707,0.020933977455713126,1.0565217391304254,0
121,L,0.2270081490104774,0.5137362637362637,0.43478260869565216,0,No Failure,0.39130434782608337,0.37037037037037024,0.11662231831032766,0.020933977455713126,1.0565217391304254,0
122,L,0.08265424912689179,0.6442307692307693,0.4426877470355731,0,No Failure,0.4021739130434785,0.38271604938271775,0.053248410495209134,0.019457863660760744,1.0508415147265036,0
123,L,0.22002328288707806,0.5439560439560439,0.450592885375494,0,No Failure,0.39130434782608337,0.37037037037037024,0.11968299453747652,0.020933977455713126,1.0565217391304254,0
124,L,0.32537834691501744,0.3516483516483516,0.458498023715415,0,No Failure,0.39130434782608337,0.37037037037037024,0.11441875935473139,0.020933977455713126,1.0565217391304254,0
125,L,0.22817229336437728,0.39010989010989017,0.46640316205533594,0,No Failure,0.39130434782608337,0.35802469135802895,0.08901226829049884,0.03327965646805442,1.0929535232383578,0
126,L,0.09371362048894072,0.7788461538461537,0.4743083003952569,0,No Failure,0.4021739130434785,0.35802469135802895,0.0729884928808096,0.04414922168544955,1.123313343328323,0
127,L,0.14260768335273577,0.5865384615384615,0.48221343873517786,0,No Failure,0.39130434782608337,0.35802469135802895,0.0836448911972777,0.03327965646805442,1.0929535232383578,0
128,L,0.24388824214202565,0.47802197802197804,0.49011857707509876,0,No Failure,0.4021739130434785,0.35802469135802895,0.11658393992503424,0.04414922168544955,1.123313343328323,0
129,L,0.22759022118742733,0.4189560439560439,0.4980237154150197,0,No Failure,0.39130434782608337,0.34567901234567966,0.09535029871176556,0.045625335480403706,1.131987577639739,0
130,L,0.17753201396973228,0.5123626373626373,0.5059288537549407,0,No Failure,0.38043478260869623,0.33333333333333126,0.0909607708938326,0.04710144927536497,1.1413043478260958,0
131,L,0.3311990686845169,0.3282967032967033,0.5138339920948616,0,No Failure,0.38043478260869623,0.33333333333333126,0.1087315623840653,0.04710144927536497,1.1413043478260958,0
132,M,0.1589057043073342,0.5412087912087912,0.5217391304347826,0,No Failure,0.3695652173913029,0.33333333333333126,0.08600116414435394,0.03623188405797162,1.1086956521739155,0
133,M,0.1525029103608848,0.6291208791208791,0.533596837944664,0,No Failure,0.3695652173913029,0.33333333333333126,0.09594276503473248,0.03623188405797162,1.1086956521739155,0
134,L,0.11699650756693836,0.6758241758241758,0.5454545454545454,0,No Failure,0.38043478260869623,0.33333333333333126,0.07906906830073306,0.04710144927536497,1.1413043478260958,0
135,M,0.31606519208381845,0.3392857142857143,0.5533596837944663,0,No Failure,0.38043478260869623,0.34567901234567966,0.10723640445700984,0.03475577026301657,1.1005434782608692,0
136,H,0.14668218859138538,0.5755494505494505,0.5652173913043478,0,No Failure,0.3695652173913029,0.34567901234567966,0.08442285304916274,0.02388620504562322,1.0690993788819814,0
137,L,0.07508731082654252,0.7074175824175823,0.5849802371541502,0,No Failure,0.3695652173913029,0.35802469135802895,0.05311808389515026,0.011540526033273935,1.0322338830584543,0
138,H,0.16356228172293374,0.6263736263736263,0.592885375494071,0,No Failure,0.38043478260869623,0.35802469135802895,0.1024510995407387,0.022410091250667286,1.0625937031484147,0
139,L,0.05820721769499426,0.7142857142857142,0.6126482213438734,0,No Failure,0.38043478260869623,0.35802469135802895,0.041576584067853035,0.022410091250667286,1.0625937031484147,0
140,L,0.19965075669383003,0.4436813186813187,0.6205533596837944,0,No Failure,0.38043478260869623,0.35802469135802895,0.08858131100564162,0.022410091250667286,1.0625937031484147,0
141,L,0.21885913853317818,0.4313186813186814,0.6284584980237153,0,No Failure,0.3695652173913029,0.34567901234567966,0.09439803502667302,0.02388620504562322,1.0690993788819814,0
142,M,0.35506402793946445,0.33516483516483514,0.6363636363636364,0,No Failure,0.35869565217391575,0.33333333333333126,0.11900497639729302,0.025362318840584486,1.076086956521754,0
143,H,0.1391152502910361,0.6414835164835164,0.6482213438735177,0,No Failure,0.35869565217391575,0.33333333333333126,0.08924013995317838,0.025362318840584486,1.076086956521754,0
144,M,0.12980209545983712,0.5302197802197801,0.6679841897233201,0,No Failure,0.35869565217391575,0.33333333333333126,0.06882363852678175,0.025362318840584486,1.076086956521754,0
145,L,0.20081490104772992,0.4093406593406594,0.6798418972332015,0,No Failure,0.3478260869565215,0.33333333333333126,0.08220170400030703,0.014492753623190247,1.043478260869571,0
146,H,0.25844004656577424,0.4436813186813187,0.6877470355731224,0,No Failure,0.3478260869565215,0.33333333333333126,0.11466502066036413,0.014492753623190247,1.043478260869571,0
147,L,0.2019790454016298,0.4986263736263737,0.7075098814229248,0,No Failure,0.33695652173912727,0.33333333333333126,0.10071207895713136,0.0036231884057960073,1.010869565217388,0
148,M,0.1228172293364378,0.6071428571428571,0.7154150197628458,0,No Failure,0.32608695652174013,0.32098765432098997,0.07456760352569437,0.0050993022007501665,1.0158862876254138,0
149,L,0.17753201396973228,0.49587912087912084,0.7272727272727272,0,No Failure,0.33695652173912727,0.32098765432098997,0.08803441901521064,0.0159688674181373,1.0497491638795813,0
150,L,0.14784633294528526,0.5343406593406593,0.7351778656126482,0,No Failure,0.33695652173912727,0.32098765432098997,0.07900030702708237,0.0159688674181373,1.0497491638795813,0
151,M,0.17171129220023285,0.46428571428571436,0.7430830039525691,0,No Failure,0.33695652173912727,0.30864197530864157,0.07972309995010812,0.0283145464304857,1.0917391304347739,0
152,M,0.24214202561117582,0.510989010989011,0.7549407114624506,0,No Failure,0.33695652173912727,0.30864197530864157,0.12373191418593049,0.0283145464304857,1.0917391304347739,0
153,L,0.3969732246798604,0.3186813186813187,0.7667984189723319,0,No Failure,0.33695652173912727,0.30864197530864157,0.12650795072215332,0.0283145464304857,1.0917391304347739,0
154,L,0.20954598370197908,0.4450549450549451,0.7747035573122529,0,No Failure,0.33695652173912727,0.30864197530864157,0.09325947626296871,0.0283145464304857,1.0917391304347739,0
155,H,0.47671711292200236,0.21978021978021983,0.7826086956521738,0,No Failure,0.33695652173912727,0.30864197530864157,0.10477299185098955,0.0283145464304857,1.0917391304347739,0
156,M,0.19033760186263105,0.5796703296703296,0.8023715415019762,0,No Failure,0.33695652173912727,0.2962962962963003,0.11033306042037128,0.04066022544282699,1.1372282608695392,0
157,H,0.180442374854482,0.5453296703296703,0.8142292490118577,0,No Failure,0.33695652173912727,0.30864197530864157,0.09840058079289746,0.0283145464304857,1.0917391304347739,0
158,M,0.19266589057043082,0.4972527472527473,0.83399209486166,0,No Failure,0.33695652173912727,0.30864197530864157,0.09580364338804391,0.0283145464304857,1.0917391304347739,0
159,L,0.1763678696158324,0.5934065934065934,0.8458498023715414,0,No Failure,0.33695652173912727,0.30864197530864157,0.10465785669510934,0.0283145464304857,1.0917391304347739,0
160,L,0.06635622817229336,0.7815934065934066,0.8537549407114624,1,Overstrain Failure,0.33695652173912727,0.30864197530864157,0.05186359042587215,0.0283145464304857,1.0917391304347739,1
